type,size,time
traditional,178,3
strassen,179,3
traditional,179,3
strassen,180,3
traditional,180,3
strassen,181,3
traditional,181,3
strassen,182,3
traditional,182,3
strassen,183,3
traditional,183,4
strassen,184,3
traditional,184,4
strassen,185,3
traditional,185,4
strassen,186,3
traditional,186,4
strassen,187,3
traditional,187,3
strassen,188,3
traditional,188,4
strassen,189,3
traditional,189,4
strassen,190,3
traditional,190,4
strassen,191,3
traditional,191,4
strassen,192,4
traditional,192,4
strassen,193,3
traditional,193,4
strassen,194,4
traditional,194,4
strassen,195,3
traditional,195,4
strassen,196,3
traditional,196,4
strassen,197,4
traditional,197,4
strassen,198,4
traditional,198,4
strassen,199,4
traditional,199,4
strassen,200,4
traditional,200,5
strassen,201,4
traditional,201,5
strassen,202,4
traditional,202,5
strassen,203,4
traditional,203,4
strassen,204,4
traditional,204,4
strassen,205,4
traditional,205,5
strassen,206,5
traditional,206,5
strassen,207,4
traditional,207,5
strassen,208,4
traditional,208,5
strassen,209,5
traditional,209,5
strassen,210,4
traditional,210,5
strassen,211,5
traditional,211,5
strassen,212,5
traditional,212,5
strassen,213,5
traditional,213,7
strassen,214,9
traditional,214,7
strassen,215,6
traditional,215,6
strassen,216,4
traditional,216,6
strassen,217,5
traditional,217,6
strassen,218,4
traditional,218,5
strassen,219,5
traditional,219,6
strassen,220,5
traditional,220,6
strassen,221,5
traditional,221,6
strassen,222,5
traditional,222,6
strassen,223,5
traditional,223,6
strassen,224,5
traditional,224,6
strassen,225,6
traditional,225,6
strassen,226,6
traditional,226,6
strassen,227,5
traditional,227,6
strassen,228,5
traditional,228,6
strassen,229,6
traditional,229,6
strassen,230,6
traditional,230,6
strassen,231,6
traditional,231,6
strassen,232,6
traditional,232,6
strassen,233,6
traditional,233,6
strassen,234,6
traditional,234,7
strassen,235,6
traditional,235,7
strassen,236,6
traditional,236,7
strassen,237,7
traditional,237,7
strassen,238,6
traditional,238,7
strassen,239,6
traditional,239,7
strassen,240,7
traditional,240,8
strassen,241,7
traditional,241,7
