score,time
145257531586,34
45115,16
5436,16
88195,15
80035,16
12330,16
645326,15
7826,13
19027,15
134441,14
1207509,14
5203,15
24659,13
9684,15
25087,15
30845,16
90090,15
171965,13
12676,13
99894,15
102343,14
14877,16
22182,16
36809,14
121344,14
40016,15
38939605591,14
190413135696,13
29528,16
314608789184,12
56376,14
2148,14
69747,16
22966974256,12
21369,15
15284,13
118566,14
5984009901,13
15860,15
88098,13
23832,14
147,16
3862,14
27790,15
27676,15
2418,16
22398,15
34357,15
13138,15
17142,15
1496,14
77242,12
278496,15
5825,15
54285,15
100422,14
71639,15
23166,14
50856,15
94635,15
13458,14
231309,15
4354,16
1049444,15
54992476612,13
920707,16
115157512906,14
70551,13
5984,14
14061,14
112833,14
111584,14
10462,15
194157,14
111172,14
14490,13
118872,13
93479,16
6405,13
28939,14
58513,16
13796,15
2286,14
26440,14
2582221,13
75726762121,13
69456,12
14175,14
130601178124,13
29854,15
61194,15
53188,14
115815,15
7636,13
13458,15
160925,17
428686,15
17078,15
108356,14
31344,15
