score,time
128375,1
578845,0
108834,0
183954,0
117798,0
197497,0
78684,0
215722,0
190775,0
407860,0
127344,0
18903,0
684702,0
62387,0
188893,1
338133,0
130937,0
117208,0
1122129,0
156738,0
76606,0
51836,0
47369,0
135732,0
22489,0
159684,0
3940373,0
575127,1
65535,0
241387,0
185390,0
58463,0
20296,0
202628,0
70345,0
121508,0
11115,0
350735,0
149255,0
1469792,0
250215,0
6646,0
37210,0
882,0
67387,0
577548,0
92244,0
90505,0
63554,0
1298693,0
416414,1
408263,0
377251,0
54236,0
308130,0
34837,0
94738,0
983231,0
87346,0
14041,0
47787,0
624319,0
83385,0
122716,0
122895,0
1184280,0
429695,0
295739,0
22180,0
354285,0
811785,0
21167,0
38723,0
853144,0
764743,0
27184,0
21925,0
22222,1
40926,0
43635,0
210799,0
188861,0
5174,0
223921,0
388859,0
75003,0
308121,0
19476,0
36287,0
233702,0
563682,0
229247,0
78827,0
46048,0
163214,0
48590,0
81971,0
89215,0
382558,0
512530,0
