score,time
274825264894,188
14286679,172
4960158,168
64541221,172
698325,175
8486293244,173
248584,169
2161768,156
9464221,168
3816732967,165
235365,167
977221,167
1631764357,164
1620318,164
15755753,169
1965191,165
7753384,169
24282495,152
5559092,152
6892,174
518410161,160
1294345,166
2142434,169
1228457,151
945296,163
2948774,163
185863714947,162
315840665360,160
1931826,170
423839635114,163
28636002560,166
23058887496,166
432567,169
114972584488,162
1661187,156
1119699096,159
484250,170
108612099907,160
296781300,171
136661346,171
4766334,170
484819,153
16626502,166
2447648,163
17738908,169
2158714,171
937420,162
4846237,170
510946,170
2022544,170
334436,154
45466687042,165
3516394,169
36768929,163
2144930203,171
44276034,156
1031105,164
126408196650,169
63902556,166
210932461,163
61204844438,169
2544229,171
342699518,172
1879528,179
192244521772,174
8974742433,174
198414371654,182
2578297,171
21598908162,154
63899423,154
2400897,157
1824934,156
16509158,165
10422159,164
481078,156
61557191610,160
36921105246,165
5084639,168
3031885,170
3447713,165
20133357,168
538332,168
59443949618,161
33981174,156
141272186797,155
172644652511,161
22831768796,155
277301,166
263848348984,164
2277092,169
545620,168
14345096,168
1805217,153
65538854760,153
88000760,170
209743,169
828728,166
849690,166
2802966,155
4489914,165
