score,time
145257531586,93
41,88
11278,86
38959,85
7823,88
1298,84
212,85
13452,81
2665,84
4099,77
7501,84
1943,88
8497,83
8892,85
9961,81
10381,81
9046,80
2679,85
94,86
4388,86
5099,76
361,77
3132,84
14841,82
7156,85
17658,86
38939605591,83
190413135696,81
37516,87
314608789184,80
13756,78
3604,80
1123,85
22966974256,82
10655,80
950,83
34880,85
5984009901,83
13782,78
18522,84
22288,86
1749,83
10196,86
24698,80
1022,80
7780,87
204,86
3133,86
9758,78
9278,81
10486,135
30216,86
45074,82
7961,78
40117,84
7158,80
21,86
4862,84
5760,83
12923,84
9580,84
45769,88
4848,87
24760,84
54992476612,84
44513,88
115157512906,92
171423,80
4328,82
7337,82
11101,81
1584,80
6102,79
15375,81
16300,78
9098,82
13912,86
3361,88
4393,84
26879,86
18961,79
4590,82
2706,87
4912,84
13675,81
75726762121,79
4290,84
2763,86
130601178124,82
15690,80
30190,78
31216,87
5653,86
672,85
10942,84
2743,82
7576,79
6832,85
25172,87
32264,83
