score,time
97,607
1209,599
165,615
870,545
84,620
117,608
435,579
86,526
372,595
444,557
661,557
147,571
387,598
723,608
1328,587
2201,584
708,624
517,556
1108,529
362,529
70,546
766,554
322,602
636,564
846,653
1102,508
256,629
157,578
165,585
5776,566
309,669
329,586
881,623
734,532
485,576
1406,568
370,595
1222,552
220,584
449,592
242,591
9,591
370,587
1721,594
89,588
86,613
1823,571
142,600
1102,656
350,588
161,580
984,569
281,632
374,561
197,671
6,592
537,578
114,545
1115,569
2313,540
327,579
2365,715
738,572
768,569
2523,616
197,630
1086,616
1870,604
830,566
960,554
35,544
856,594
537,594
157,547
92,581
808,549
164,560
342,634
823,551
28,665
211,589
303,597
1136,570
48,519
405,591
48,655
2334,566
116,586
722,587
107,604
563,637
211,581
374,579
141,573
774,613
662,601
1602,534
175,625
919,592
924,555
