score,time
47,979
125,911
23,895
58,894
4,899
209,939
5,905
12,868
0,904
70,896
23,915
27,906
205,879
55,861
26,904
19,915
6,868
35,851
80,881
56,847
148,900
100,889
22,903
2,909
6,940
98,867
36,927
89,918
33,896
4,944
11,982
69,998
13,975
18,865
37,898
84,892
4,889
20,904
32,921
19,914
22,901
25,903
18,923
11,917
27,904
22,909
3,893
2,899
20,911
8,994
91,915
58,908
23,916
10,908
25,903
18,895
13,942
26,913
13,907
71,884
37,937
9,926
12,915
208,919
19,902
3,902
40,915
54,936
4,895
208,942
1,871
38,888
45,924
7,864
98,865
52,886
10,903
14,933
81,871
38,934
9,890
15,1000
22,911
120,884
69,928
86,976
10,897
14,878
42,923
63,876
57,919
111,885
4,900
7,895
24,904
2,922
10,897
215,946
45,925
16,923
