score,time
358485273,25
188753081,17
17491331,17
281249048,17
17997262,17
128810563,18
228504965,18
262571782,16
50427192,17
25566676,17
26150731,17
34026925,16
38327333,18
23263615,18
29570100,17
410471579,17
37022312,17
117956905,16
329525268,17
38628798,17
331785302,17
60690004,16
668370458,17
146144976,18
110895128,17
25702440,17
292890054,16
412441957,17
104386247,16
36659048,17
16043299,23
72430983,17
40602179,17
82386720,16
628276593,18
174691844,17
288612710,17
103936926,17
126472124,19
764035975,17
1262788508,16
378497511,18
15825884,18
257873757,19
401220939,17
169103724,17
246177455,17
251568390,17
25144934,20
481010446,16
540775417,19
136574768,17
428441183,18
599240480,17
258583065,18
806275240,17
50528325,17
359741994,17
65101921,17
254488079,17
103186193,16
529601897,17
33833494,18
187013908,18
24041647,18
83248731,17
220069162,17
44308380,19
338269100,17
356360024,18
691623719,17
26349578,16
212333733,17
297342149,16
3630454,16
418423584,17
50615082,18
876293810,17
302751019,16
113338546,18
82158235,16
31280687,18
312681178,17
98200398,17
190974951,17
453565548,17
167668852,18
471019138,17
362106474,17
66135257,17
40542779,17
72501755,16
66004302,18
357384875,17
175154568,17
1586124074,18
5752432,18
500254875,18
246560703,17
312858434,17
