score,time
63045,1
51257,0
134457,0
60796,0
170334,0
68663,0
802679,0
108036,0
218880,0
3114,0
330219,0
754561,0
39945,0
11461,0
80518,0
184157,0
2644,0
457919,0
209716,1
74136,0
27828,0
324464,0
19676,0
694858,0
92386,0
49938,0
1500426,0
176659,0
343133,0
37522,0
712423,0
261153,0
550389,0
233166,0
48111,0
673712,0
101478,0
23814,0
59040,0
104441,0
286706,0
192239,0
445694,0
43979,0
389533,0
286178,0
180063,1
169132,0
9482,0
1165078,0
2459,0
622694,0
1125873,0
132342,0
167045,0
1038,0
901,0
332492,0
73063,0
206109,0
46121,0
28223,0
81268,1
541788,0
265385,0
147883,0
61282,0
252416,0
292676,0
114796,0
404627,0
219084,0
361521,0
18923,0
78778,0
54328,0
218016,0
331340,0
12167,0
15916,0
1724273,0
131109,0
498048,0
286048,0
180179,0
111930,0
18624,0
223860,0
48580,0
137913,0
346557,0
78885,0
5674,0
50855,0
328272,0
219760,1
42180,0
176505,0
138301,0
17134,0
